variance,mean,max,total,spread,jain,gini,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,seed
700.1600000000001,32.8,81.0,164.0,72.0,0.6057657657657658,0.41707317073170747,36.273484729335145,9.0,True,700.1600000000001,centroid,3.5999983083456755e-06,5,,0.5892500453967682,0.09041261304835467,6
677.84,32.4,80.0,162.0,71.0,0.6076406575596203,0.41481481481481497,35.81889696638759,8.88888888888889,True,677.84,weighted_centroid,8.499991963617504e-06,5,,0.538587252587616,0.07674730809752996,6
642.64,31.6,69.0,158.0,61.0,0.6084328540092615,0.4227848101265823,34.7839909575464,8.625,True,642.64,geometric_median,8.97999998414889e-05,5,,0.4586889413473762,0.045637130131988515,6
536.64,30.4,63.0,152.0,54.0,0.6326396495071194,0.39210526315789473,33.26583377271204,7.0,True,536.64,min_sum,0.006612600001972169,1315,,0.21808607227165439,0.0,6
440.55999999999995,32.8,60.0,164.0,51.0,0.7094697968873648,0.35121951219512204,35.19234028512194,6.666666666666667,True,440.55999999999995,min_max,0.005727399999159388,1315,,0.0,0.0579124673553262,6
440.55999999999995,32.8,60.0,164.0,51.0,0.7094697968873648,0.35121951219512204,35.19234028512194,6.666666666666667,True,440.55999999999995,min_range,0.0061643000080948696,1315,,0.0,0.0579124673553262,6
536.64,30.4,63.0,152.0,54.0,0.6326396495071194,0.39210526315789473,33.26583377271204,7.0,True,536.64,random,0.00298839999595657,500,,0.21808607227165439,0.0,6
440.55999999999995,32.8,60.0,164.0,51.0,0.7094697968873648,0.35121951219512204,35.19234028512194,6.666666666666667,True,440.55999999999995,exhaustive,0.006198699993547052,1315,,0.0,0.0579124673553262,6
536.64,30.4,63.0,152.0,54.0,0.6326396495071194,0.39210526315789473,33.26583377271204,7.0,True,536.64,exhaustive_ede,0.006560399997397326,1315,,0.21808607227165439,0.0,6
29.360000000000003,16.8,23.0,84.0,15.0,0.9057766367137355,0.17619047619047623,17.187532967308,2.875,True,29.360000000000003,ours,0.05215580000367481,840,178.0,0.0,0.2258604787836427,7
71.2,13.0,28.0,65.0,23.0,0.7035803497085762,0.34461538461538477,14.020790509832157,5.6,True,71.2,ours_ede,0.006948599999304861,875,185.0,1.4250681198910082,0.0,7
236.4,26.0,44.0,130.0,41.0,0.7409031126698816,0.3292307692307692,27.635851121672047,14.666666666666666,True,236.4,centroid,4.199988325126469e-06,5,,7.051771117166211,0.9710622665884818,7
36.160000000000004,15.8,23.0,79.0,18.0,0.8734779566130161,0.20253164556962022,16.277653237796606,4.6,True,36.160000000000004,weighted_centroid,8.100003469735384e-06,5,,0.23160762942779292,0.16096544102715266,7
51.040000000000006,16.6,24.0,83.0,20.0,0.8437232088181261,0.2313253012048193,17.21645757820972,6.0,True,51.040000000000006,geometric_median,4.2400002712383866e-05,5,,0.7384196185286104,0.22792345881900056,7
71.2,13.0,28.0,65.0,23.0,0.7035803497085762,0.34461538461538477,14.020790509832157,5.6,True,71.2,min_sum,0.01029200000630226,2500,,1.4250681198910082,0.0,7
30.639999999999997,15.6,23.0,78.0,17.0,0.8881751824817519,0.18974358974358974,16.02313020709934,3.8333333333333335,True,30.639999999999997,min_max,0.010973299999022856,2500,,0.0435967302452314,0.14281218279832583,7
29.360000000000003,16.8,23.0,84.0,15.0,0.9057766367137355,0.17619047619047623,17.187532967308,2.875,True,29.360000000000003,min_range,0.0110763999982737,2500,,0.0,0.2258604787836427,7
30.639999999999997,15.6,23.0,78.0,17.0,0.8881751824817519,0.18974358974358974,16.02313020709934,3.8333333333333335,True,30.639999999999997,random,0.0034453999978723004,500,,0.0435967302452314,0.14281218279832583,7
29.360000000000003,16.8,23.0,84.0,15.0,0.9057766367137355,0.17619047619047623,17.187532967308,2.875,True,29.360000000000003,exhaustive,0.01286410000466276,2500,,0.0,0.2258604787836427,7
71.2,13.0,28.0,65.0,23.0,0.7035803497085762,0.34461538461538477,14.020790509832157,5.6,True,71.2,exhaustive_ede,0.011381400006939657,2500,,1.4250681198910082,0.0,7
